	RT	std1	relation.id	relation.ship
87.00406132544865	16.644699096679688	8138.02490234375	140	M+ACN+2H
90.00529935149488	28.736799240112305	7137.9150390625	92	M+H
100.51004920756564	15.139300346374512	7578.16796875	93	M+H
100.51007059075452	25.70170021057129	7793.20849609375	94	M+H
120.02354342802992	25.70170021057129	21402.634765625	95	M+H
120.98080348793303	4.687689781188965	34025.10546875	96	M+H
120.98081756978091	16.644699096679688	26051.833984375	97	M+H
129.01990254734858	24.195999145507812	8225.1953125	98	M+H
129.0199099150822	12.142600059509277	9172.142578125	99	M+H
129.0520084917158	25.70170021057129	10865.9794921875	100	M+H
156.01394868090458	24.195999145507812	10167.287109375	101	M+H
157.97383854613233	21.179800033569336	5393.96875	102	M+H
182.95151048646912	25.70170021057129	1966.4027099609375	103	M+H
234.9515109875103	21.179800033569336	14792.6220703125	104	M+H
