Peak Mass	RT	Intensity	Cluster	Transform	Freq.	Prob.	M
157.083267994	16.1837005615	21234.6191406	105	M+H	500.0	1.0	156.075991542
169.121887117	60.4043998718	4344.06396484	106	M+H	500.0	1.0	168.114610665
81.5110376931	63.5256004333	2330.89453125	107	M+H	500.0	1.0	80.5037612411
93.0545158455	52.6581993103	7099.17871094	108	M+H	500.0	1.0	92.0472393935
93.0544987826	8.81604003906	8994.49511719	109	M+H	500.0	1.0	92.0472223306
120.980599835	4.4220700264	20976.6992188	110	M+H	500.0	1.0	119.973323383
120.980646544	46.5288009644	10316.2607422	111	M+H	500.0	1.0	119.973370092
120.980583438	16.1837005615	15116.0722656	112	M+H	500.0	1.0	119.973306986
120.980603731	25.1942005157	10000.0859375	113	M+H	500	1.0	119.973327279
125.98234918	63.5256004333	1549.25341797	114	M+H	500.0	1.0	124.975072728
159.968768828	4.4220700264	113348.140625	115	M+H	500.0	1.0	158.961492376
74.0680950603	60.4043998718	7616.734375	116	M+H	500.0	1.0	73.0608186083
84.0146392217	66.641998291	2191.59912109	117	M+H	500.0	1.0	83.0073627697
102.96995784	4.4220700264	21543.1679688	118	M+H	500.0	1.0	101.962681388
102.969995357	28.2140007019	12837.8623047	119	M+H	500.0	1.0	101.962718905
120.023381399	60.4043998718	35664.0429688	120	M+H	500.0	1.0	119.016104947
129.019757376	19.1644992828	7585.50683594	121	M+H	500.0	1.0	128.012480924
171.991291418	5.88184976578	83896.984375	122	M+H	500.0	1.0	170.984014966
171.991334628	41.9440002441	56183.8203125	123	M+H	500.0	1.0	170.984058176
171.991325967	23.6833000183	57077.2304688	124	M+H	500.0	1.0	170.984049515
219.046990296	8.81604003906	33662.5585938	125	M+H	500.0	1.0	218.039713844
234.951215008	58.8708992004	18329.5878906	126	M+H	500.0	1.0	233.943938556
92.5221410646	44.9998016357	9340.83203125	127	M+H	500.0	1.0	91.5148646126
144.020337414	66.641998291	4835.81835938	128	M+H	500.0	1.0	143.013060962
103.111411433	10.2889995575	18225.2851562	129	M+H	500.0	1.0	102.104134981
280.99253171	71.2895965576	4262.43164062	130	M+H	500.0	1.0	279.985255258
77.9987303098	14.7006998062	11493.0097656	131	M+H	500.0	1.0	76.9914538578
77.9987492733	43.4677009583	11657.4941406	132	M+H	500.0	1.0	76.9914728213
77.9987357235	26.6947002411	9044.07324219	133	M+H	500.0	1.0	76.9914592715
84.0638901436	4.4220700264	64887.53125	134	M+H	500.0	1.0	83.0566136916
104.523117073	51.117401123	11992.3339844	135	M+H	500	1.0	103.515840621
104.52312398	13.2294998169	12018.1904297	136	M+H	500	1.0	103.515847528
104.523126823	37.3166007996	12274.4638672	137	M+H	138	0.276	103.515850371
600.118489621	76.0008010864	10030.3964844	619	M+NaC13	500	1.0	576.125918541
249.011336635	79.1465988159	2462.45800781	139	M+H	500.0	1.0	248.004060183
596.166341624	77.5650024414	3221.20581055	147	M+HC13	499	0.998	594.155715172
102.004360533	77.5650024414	1826.12194824	141	M+H	500.0	1.0	100.997084081
127.075140532	44.9998016357	4023.81445312	142	M+H	500.0	1.0	126.06786408
