Peak Mass	RT	Intensity	Cluster	Transform	Freq.	Prob.	M
167.505458426	96.1536026001	2825.93164062	155	M+H	500.0	1.0	166.498181974
214.148873343	90.06300354	2886.3515625	283	M+NaC13	462	0.924	190.156302263
231.970511906	80.9321975708	9456.01074219	157	M+H	500.0	1.0	230.963235454
231.970453077	14.2601003647	9190.74414062	158	M+H	500.0	1.0	230.963176625
234.999777957	88.5306015015	9434.64453125	159	M+H	482	0.964	233.992501505
266.151178117	91.5821990967	9185.32226562	203	M+K	500	1.0	227.188019797
282.278592976	87.0108032227	7402.5390625	161	M+H	500.0	1.0	281.271316524
309.203082622	85.4922027588	24774.0996094	162	M+H	500.0	1.0	308.19580617
394.352202667	93.0960006714	12721.5019531	163	M+H	500.0	1.0	393.344926215
438.378500208	93.0960006714	11906.1484375	164	M+H	500.0	1.0	437.371223756
442.300595691	102.294998169	4796.52392578	181	M+NaC13	500	1.0	418.308024611
526.431058671	93.0960006714	8547.24316406	166	M+H	500.0	1.0	525.423782219
74.5305653386	1.85838997364	22412.5878906	167	M+H	500.0	1.0	73.5232888866
74.530550554	74.7816009521	18800.3066406	168	M+H	500.0	1.0	73.5232741021
74.5305503485	20.4624996185	19497.1503906	169	M+H	500.0	1.0	73.5232738965
176.013144642	31.3565006256	36294.671875	170	M+H	500.0	1.0	175.00586819
176.013141037	73.240196228	36542.0078125	171	M+H	500.0	1.0	175.005864585
199.98754783	102.294998169	11064.4638672	172	M+H	500.0	1.0	198.980271378
220.934210075	68.6039962769	92062.8359375	173	M+H	500.0	1.0	219.926933623
225.195663353	90.06300354	8162.39746094	174	M+H	500.0	1.0	224.188386901
302.143915226	91.5821990967	7349.25195312	575	M+HC13	499	0.998	300.133288774
311.255116184	91.5821990967	9504.59667969	176	M+H	500.0	1.0	310.247839732
314.942705587	102.294998169	3217.80712891	177	M+H	500.0	1.0	313.935429135
337.234425329	96.1536026001	6695.62109375	178	M+H	500.0	1.0	336.227148877
355.281328724	91.5821990967	11864.5166016	179	M+H	500.0	1.0	354.274052272
414.269128853	93.0960006714	33442.03125	2978	M+NaC13	264	0.528	390.276557772
419.315179818	102.294998169	7781.48779297	181	M+H	500.0	1.0	418.307903366
482.404580912	96.1536026001	10348.3808594	182	M+H	500.0	1.0	481.39730446
82.5370900696	29.789100647	67886.125	183	M+H	500.0	1.0	81.5298136176
82.5370928953	59.2832984924	71267.328125	184	M+H	500.0	1.0	81.5298164433
90.0230291364	94.6187973022	2999.38305664	185	M+H	500.0	1.0	89.0157526844
182.979325951	105.391998291	6838.33789062	186	M+H	500.0	1.0	181.972049499
211.946074623	103.832000732	5219.54248047	187	M+H	500.0	1.0	210.938798171
213.017848677	82.4568023682	25327.6953125	188	M+H	500.0	1.0	212.010572225
225.995415926	82.4568023682	17797.7773438	189	M+H	500.0	1.0	224.988139474
298.876908353	18.8992996216	25614.453125	190	M+H	500.0	1.0	297.869631901
330.915271309	103.832000732	8607.96875	191	M+H	500.0	1.0	329.907994857
469.328863601	102.294998169	6814.31787109	192	M+H	500.0	1.0	468.321587149
74.0321933159	39.1114006042	16670.6308594	193	M+H	500.0	1.0	73.0249168639
78.7079905238	94.6187973022	2676.5703125	194	M+H	500.0	1.0	77.7007140718
137.502731502	96.1536026001	2743.00708008	195	M+H	500.0	1.0	136.49545505
179.99009033	42.2123985291	11177.3935547	196	M+H	500.0	1.0	178.982813878
179.990012715	80.9321975708	11121.921875	197	M+H	500.0	1.0	178.982736263
182.976284786	105.391998291	5541.88574219	198	M+H	500	1.0	181.969008334
198.000552711	74.7816009521	20715.9941406	199	M+H	500.0	1.0	196.993276259
198.000590928	42.2123985291	20376.4921875	200	M+H	500.0	1.0	196.993314476
89.5294332318	102.294998169	2456.43774414	201	M+H	500.0	1.0	88.5221567798
196.993283016	106.947998047	7289.37402344	202	M+H	500.0	1.0	195.986006564
228.195384007	93.0960006714	26437.8261719	203	M+H	500.0	1.0	227.188107555
238.462592653	99.2154006958	2404.42407227	204	M+H	500.0	1.0	237.455316201
250.17730783	93.0960006714	81437.4765625	205	M+H	500.0	1.0	249.170031378
339.903462297	18.8992996216	13968.7685547	190	M+ACN+H	500	1.0	297.869636742
115.557015819	96.1536026001	5345.03955078	207	M+H	500.0	1.0	114.549739367
430.243369569	99.2154006958	5721.01513672	225	M+HC13	500	1.0	428.232743117
90.5257825118	39.1114006042	302538.53125	209	M+H	500.0	1.0	89.5185060598
90.5257789051	60.8334007263	286654.25	210	M+H	500.0	1.0	89.5185024531
152.035798743	80.9321975708	20605.0644531	211	M+H	500.0	1.0	151.028522291
